,Open,High,Low,Close,Volume
2021-11-15,42.79,43.1,42.31,42.53,766700
2021-11-16,42.53,42.88,42.23,42.31,706300
2021-11-17,42.31,42.7,42.31,42.66,788300
2021-11-18,42.79,42.79,42.23,42.23,709700
2021-11-19,42.31,42.62,42.27,42.27,413000
2021-11-22,42.36,43.05,42.27,43.01,1017300
2021-11-23,43.1,43.14,42.75,43.14,549200
2021-11-24,43.18,45.97,43.18,45.62,1883300
2021-11-25,45.71,47.01,45.53,46.62,1473200
2021-11-26,46.45,47.1,45.27,45.71,879600
2021-11-29,44.97,45.66,43.97,44.01,851000
2021-11-30,45.27,45.27,43.05,43.05,1336500
2021-12-01,43.27,44.18,42.79,43.1,551500
2021-12-02,43.66,43.88,43.01,43.14,787700
2021-12-03,43.18,43.88,42.44,42.66,795900
2021-12-06,42.66,43.53,41.53,41.53,1008600
2021-12-07,41.83,43.27,41.83,42.75,820000
2021-12-08,42.66,43.27,42.66,42.97,507500
2021-12-09,42.4,43.27,42.36,43.18,805400
2021-12-10,43.97,44.75,43.49,43.53,1881200
2021-12-13,44.4,44.4,43.18,43.36,1038000
2021-12-14,43.36,43.75,43.14,43.23,862300
2021-12-15,43.31,43.84,43.1,43.49,732300
2021-12-16,43.88,43.88,42.7,43.14,1047100
2021-12-17,43.53,43.53,42.01,42.01,3475700
2021-12-20,42.88,43.31,42.7,43.31,736900
2021-12-21,43.1,43.44,42.88,43.05,774100
2021-12-22,43.3,43.75,43.07,43.24,1915300
2021-12-23,43.58,44.36,43.01,43.01,1489000
2021-12-24,43.18,44.14,43.18,44.14,849400
2021-12-27,44.36,45.15,43.8,44.87,934100
2021-12-28,44.98,45.54,43.86,44.98,1168800
2021-12-29,44.7,44.87,44.48,44.7,440000
2021-12-30,44.87,44.93,43.69,44.08,920300
2021-12-31,44.42,44.53,44.08,44.31,422000
2022-01-04,44.42,44.65,43.86,44.42,1133800
2022-01-05,44.42,45.21,43.86,43.86,1603100
2022-01-06,44.2,44.93,43.8,44.48,1215600
2022-01-07,44.76,44.93,43.97,44.87,966200
2022-01-10,44.81,44.93,44.14,44.7,1097000
2022-01-11,44.98,44.98,44.14,44.65,952700
2022-01-12,44.65,44.98,43.86,44.98,1801500
2022-01-13,45.26,47.46,45.09,46.05,2532800
2022-01-14,46.05,46.89,45.54,46.89,1522100
2022-01-17,46.67,49.48,46.28,48.47,2628500
2022-01-18,48.07,49.26,47.23,49.26,1696600
2022-01-19,49.2,49.2,47.79,48.81,914800
2022-01-20,47.91,49.2,46.73,48.97,2794300
2022-01-21,48.86,50.61,48.41,50.16,2502300
2022-01-24,50.27,52.57,49.59,52.29,2728300
2022-01-25,52.01,53.98,50.04,53.87,2396600
2022-01-26,53.87,53.87,52.07,53.14,2523500
2022-01-27,52.29,53.14,50.83,51.17,1732900
2022-01-28,51.17,51.73,50.04,50.04,2055700
2022-02-07,50.94,52.24,50.32,51.95,1620800
2022-02-08,51.95,51.95,50.66,51.73,1146400
2022-02-09,51.28,51.67,50.77,51.06,1582900
2022-02-10,51.22,52.52,51.17,51.34,1827200
2022-02-11,51.34,51.5,50.61,50.61,1158400
2022-02-14,49.54,49.93,48.36,48.36,3629100
2022-02-15,48.36,49.65,47.12,48.92,2453500
2022-02-16,49.2,49.42,48.58,48.92,1286000
2022-02-17,48.92,49.31,48.81,49.2,1431200
2022-02-18,48.58,49.2,48.58,49.03,1066200
2022-02-21,48.69,49.26,48.69,49.14,1017900
2022-02-22,48.92,48.92,47.79,48.81,1540200
2022-02-23,48.92,48.92,48.24,48.86,986300
2022-02-24,48.75,48.81,47.79,47.96,2078700
2022-02-25,47.96,48.3,47.79,47.85,1616500
2022-02-28,47.85,47.85,47.46,47.51,1322100
2022-03-01,47.51,48.02,47.29,47.79,1295400
2022-03-02,48.13,48.13,47.34,47.79,1655600
2022-03-03,47.79,48.07,47.63,48.07,1052200
2022-03-04,47.91,48.07,47.68,47.74,1058100
2022-03-07,47.4,47.74,47.18,47.74,1002800
2022-03-08,47.12,47.51,45.83,45.83,2936300
2022-03-09,45.99,46.73,45.94,46.67,1325300
2022-03-10,46.67,47.06,46.61,46.95,1154100
2022-03-11,47.06,47.18,46.67,47.12,876100
2022-03-14,46.84,47.34,46.78,47.34,1438200
2022-03-15,47.23,47.29,45.54,45.6,2385900
2022-03-16,45.71,46.78,45.71,46.39,1000600
2022-03-17,46.67,46.95,46.5,46.67,1222400
2022-03-18,46.73,47.91,46.61,47.34,1406600
2022-03-21,47.34,48.07,47.23,47.74,933900
2022-03-22,47.74,48.07,47.74,47.74,775100
2022-03-23,47.74,48.13,47.74,47.74,966600
2022-03-24,47.74,47.74,46.95,46.95,570200
2022-03-25,47.23,47.23,46.11,46.39,1137800
2022-03-28,46.67,46.67,46.11,46.33,725400
2022-03-29,46.33,46.67,45.88,46.05,1018600
2022-03-30,45.99,46.95,45.83,46.11,913900
2022-03-31,46.11,46.44,46.11,46.16,492400
2022-04-01,46.16,47.01,45.6,46.56,900300
2022-04-04,46.78,47.29,46.44,46.44,712000
2022-04-05,46.56,46.78,46.44,46.67,526100
2022-04-06,46.61,47.79,45.94,47.57,2009600
2022-04-07,47.74,47.91,46.67,46.67,928000
2022-04-08,47.18,47.18,46.61,46.67,788200
2022-04-12,46.67,46.78,45.88,46.33,841300
2022-04-13,46.67,46.73,46.11,46.33,850700
2022-04-14,46.33,46.61,45.54,45.54,1151400
2022-04-15,45.66,45.83,45.09,45.09,894800
2022-04-18,44.98,45.09,43.63,43.69,1237300
2022-04-19,43.75,44.14,43.63,43.69,1003400
2022-04-20,43.86,44.36,43.69,44.08,904600
2022-04-21,44.08,44.53,43.97,44.08,2178200
2022-04-22,44.48,46.44,44.48,46.22,2776600
2022-04-25,46.22,46.67,43.3,45.99,2479400
2022-04-26,44.42,45.26,44.42,45.26,1912000
2022-04-27,44.93,46.11,43.97,45.83,1429800
2022-04-28,45.83,45.88,44.7,45.83,564100
2022-04-29,45.77,46.28,44.98,45.49,1259200
2022-05-04,45.49,45.54,44.42,44.93,892600
2022-05-05,45.26,45.83,44.76,45.54,1019300
2022-05-06,44.81,45.66,44.65,44.65,775900
2022-05-09,44.31,45.21,43.75,43.8,1674200
2022-05-10,43.35,44.98,43.35,44.98,926000
2022-05-11,44.98,45.15,44.42,44.98,931300
2022-05-12,44.42,44.93,43.3,43.3,972300
2022-05-13,43.3,43.86,41.05,41.05,1963600
2022-05-16,42.45,42.96,41.61,41.72,1558800
2022-05-17,41.72,43.3,41.1,42.73,2262300
2022-05-18,43.3,43.3,42.17,42.4,881000
2022-05-19,42.17,43.13,42.06,42.73,575800
2022-05-20,42.23,43.01,42.17,42.34,661800
2022-05-23,42.51,42.51,41.38,41.83,631600
2022-05-24,42.11,42.56,41.78,42.51,898700
2022-05-25,42.73,43.3,42.06,43.3,817000
2022-05-26,43.3,43.35,42.73,43.13,978900
2022-05-27,43.13,43.52,42.9,43.52,892000
2022-05-30,43.52,45.54,42.96,43.86,1327400
2022-05-31,44.36,44.36,43.86,44.36,483700
2022-06-01,44.42,45.26,44.42,45.26,798800
2022-06-02,45.43,45.43,44.42,44.42,641400
2022-06-03,44.08,44.7,42.96,43.58,527800
2022-06-06,43.58,44.98,42.23,44.81,880500
2022-06-07,44.42,46.11,43.91,45.54,933000
2022-06-08,45.54,45.54,44.31,44.53,1164700
2022-06-09,44.42,44.93,43.69,43.75,1067500
2022-06-10,43.75,44.42,43.52,43.69,390900
2022-06-13,43.3,43.3,41.66,42.96,1105800
2022-06-14,42.45,43.91,41.61,43.3,1066200
2022-06-15,43.52,44.03,42.34,43.01,1243600
2022-06-16,43.13,44.98,43.01,44.48,1209600
2022-06-17,43.3,44.03,42.79,42.79,1050600
2022-06-20,44.7,44.7,42.34,42.73,1089700
2022-06-21,42.73,43.69,42.28,43.69,937100
2022-06-22,43.8,43.86,42.17,42.73,1069200
2022-06-23,42.23,43.13,42.11,42.68,590200
