,Open,High,Low,Close,Volume
2021-06-15,30.8,30.8,29.8,30.1,29659500
2021-06-16,29.6,30.2,29.0,29.2,30686500
2021-06-17,28.55,29.65,28.55,29.4,19581100
2021-06-18,29.9,30.1,29.5,29.65,16991300
2021-06-21,29.5,30.3,29.35,29.85,24072800
2021-06-22,30.15,30.75,29.85,30.2,25185700
2021-06-23,30.2,30.35,29.75,29.75,24112800
2021-06-24,29.75,29.9,28.85,29.0,21749700
2021-06-25,29.0,29.5,28.9,29.5,15572700
2021-06-28,29.8,30.4,29.45,30.2,19303900
2021-06-29,30.5,31.5,30.4,31.0,36074600
2021-06-30,30.95,31.4,30.5,30.6,16495700
2021-07-01,30.6,31.25,30.45,31.0,29589500
2021-07-02,31.1,31.95,31.1,31.5,41478500
2021-07-05,31.6,32.6,30.9,32.6,53687900
2021-07-06,32.8,33.1,30.35,30.35,38579900
2021-07-07,30.65,31.15,30.0,31.05,41481100
2021-07-08,31.0,31.3,30.1,30.2,32240500
2021-07-09,30.0,30.5,29.0,29.1,38413800
2021-07-12,29.15,29.2,27.1,28.4,62616700
2021-07-13,28.8,29.0,28.05,28.7,18442600
2021-07-14,28.7,28.7,27.0,27.4,25268600
2021-07-15,27.1,28.8,27.1,28.8,25368800
2021-07-16,28.9,29.1,28.4,28.45,19474900
2021-07-19,27.5,27.95,26.7,27.5,38557500
2021-07-20,27.8,28.1,27.2,28.1,23884800
2021-07-21,28.3,28.4,27.8,27.85,14144600
2021-07-22,27.85,28.15,27.65,28.0,16617400
2021-07-23,28.3,29.95,27.9,28.7,63584600
2021-07-26,28.9,29.3,28.35,28.7,15097600
2021-07-27,29.0,29.75,28.7,29.1,29764400
2021-07-28,28.9,29.45,28.7,28.9,17532900
2021-07-29,29.1,29.4,29.0,29.3,16102300
2021-07-30,29.4,30.35,29.25,29.9,32248600
2021-08-02,29.8,30.4,29.3,29.3,26509200
2021-08-03,29.4,29.8,29.25,29.8,26539400
2021-08-04,29.8,30.8,29.65,30.65,48352900
2021-08-05,30.6,31.25,30.3,31.05,30721500
2021-08-06,31.0,31.15,30.3,30.3,30921200
2021-08-09,30.3,30.8,30.1,30.7,20906000
2021-08-10,30.85,31.0,30.3,30.6,24370800
2021-08-11,30.5,30.85,30.35,30.4,26155800
2021-08-12,30.3,30.5,29.6,29.6,27936600
2021-08-13,29.6,29.8,29.15,29.7,22964600
2021-08-16,29.85,30.4,29.4,30.3,24095900
2021-08-17,30.3,30.6,30.0,30.15,20325100
2021-08-18,30.0,30.15,29.55,29.95,22196200
2021-08-19,29.8,30.05,29.6,29.95,16698400
2021-08-20,29.8,29.9,28.0,28.3,42106300
2021-08-23,28.2,28.5,27.0,27.0,29889700
2021-08-24,26.9,27.85,26.65,27.25,25860800
2021-08-25,27.35,27.55,27.1,27.35,8164000
2021-08-26,27.5,27.55,26.85,27.1,13170400
2021-08-27,27.0,27.3,26.55,27.3,16479200
